Forecasting models,0,1,2,3,4,5,6,7,8,9,10,11
HA,,,,0.5997392438070405,,,,,,0.6415094339622641,,
SVR,-0.6192543603167657,0.3269616869830369,0.3718484316530861,0.4315514993481095,-2.197484179555904,0.9860070574344865,-0.8540402675686207,-0.047931446624318,0.5191145612985375,0.431266846361186,0.5347355230238475,0.2964163769532375
KNR,-0.006487867989257934,2.050013391676805,0.020181562007729803,0.5880052151238592,2.145899365062025,0.01594050424182991,-0.0049948552588610085,1.7168465413383465,0.04300360732726127,0.6064690026954178,0.5481249378238116,0.2918030591554017
AdaBoost,-0.2091850962186177,0.41017474901292217,0.3408388813352259,0.4745762711864407,-1.787084798224007,0.9630381079563015,-0.12770315007461575,0.2931005051026893,0.38472266535069133,0.40970350404312667,-1.7626880660059463,0.9610234426828431
XGBoost,-0.5177055256402632,1.2911235507469596,0.09833041943967413,0.5189048239895697,-0.07225526834748407,0.528800618855189,-0.7501164638910274,0.3581108520327239,0.36013017907575784,0.5336927223719676,1.2479294444287186,0.10602844830821445
Combination,-0.035983302041504794,0.9541441547256813,0.17000533908370685,0.5423728813559322,1.1683690789736072,0.12132896096923695,-0.07175109203094565,0.12044586891985633,0.45206497885339725,0.5741239892183289,2.073643373616499,0.019056221919936944
