Forecasting models,0,1,2,3,4,5,6,7,8,9,10,11
HA,,,,0.5997392438070405,,,,,,0.6415094339622641,,
SVR,-14.69043508365444,1.2862568849888063,0.0991767120817082,0.49934810951760106,-0.25035452937767516,0.598843404811957,-0.7529826382606597,-0.3032603520912675,0.6191542706306306,0.4582210242587601,0.2520033917274723,0.40051922108655447
KNR,-0.05587510497992709,0.8882583780619324,0.1872008915101,0.5814863102998696,1.9059370701327079,0.028329185387434563,-0.06693714086468816,0.18097307359298814,0.4281943555877197,0.6064690026954178,0.6973023442493098,0.2428068006528561
AdaBoost,-0.6202997562991803,-0.7169256422601527,0.7632900105397944,0.5345501955671447,0.626316476645783,0.26555369060455536,-0.951386522240911,-1.3117367542414133,0.905195514484066,0.5633423180592992,0.9158604250179532,0.1798700529840379
XGBoost,-0.9089667226106033,-1.077953122037206,0.8594726615777987,0.516297262059974,-1.1453400939606306,0.8739658482749235,-1.2666935681333698,-2.112272405283442,0.9826684543566767,0.5148247978436657,-0.7922115383745072,0.7858813290790267
Combination,-0.17266889260775753,1.0445057975169427,0.1481257191611549,0.5795148247978437,1.3002006031429973,0.09676611198977292,-0.19424968677825372,-1.434170455197905,0.9242381869864652,0.5795148247978437,1.3002006031429973,0.09676611198977292
