Forecasting models,0,1,2,3,4,5
HA,,,,0.6294820717131474,,
SVR,-3.6187106653724044,-0.3364785872375867,0.6317450019321577,0.3545816733067729,-2.5687229312239035,0.9948962983274168
KNR,-0.08075794444301265,0.18741180561888665,0.425668883524577,0.5577689243027888,0.018615100043793697,0.49257407841524237
AdaBoost,-0.14005755738479242,-0.7460968844272825,0.7721955543751255,0.5059760956175299,-1.0884581362757324,0.8618035459069449
XGBoost,-0.48139903329303335,-1.6923694522402717,0.9547122234779517,0.5059760956175299,-2.0204343780509313,0.9783308247501886
Combination,-0.4422629670284135,-1.2340494654892542,0.8914077637594244,0.5976095617529881,1.2230891347219393,0.1106480159865173
