Forecasting models,0,1,2,3,4,5,6,7,8,9,10,11
HA,,,,0.5997392438070405,,,,,,0.6415094339622641,,
OLS,-0.36569913259059406,0.5093425326785163,0.3052560749600637,0.5554106910039114,1.7855559710359454,0.03708559059879035,-0.6610746774300593,-1.489210471999388,0.9317840229597218,0.5768194070080862,0.97091657697226,0.16579491128733537
PLS,-0.09845205024353554,0.1585333409976722,0.43701827526461645,0.5449804432855281,1.5190342414136675,0.06437693862227012,-0.14074044105438244,-0.7398624475086228,0.7703082687595075,0.5660377358490566,1.2996831764016816,0.0968547893811822
PCR,-0.043718834430513054,0.7942362247850387,0.21352896177120417,0.5853976531942634,2.490714589286168,0.006374324205234205,-0.07085734951546652,-1.036178154560441,0.8499404818642462,0.628032345013477,1.673310563320273,0.04713308701000851
LASSO,-0.043882231018260054,0.5833190571762625,0.2798392679294903,0.5658409387222947,1.3140082153148458,0.09442171980169922,-0.06361972949415606,-0.9033031640589987,0.8168174911338211,0.5956873315363881,-0.13046150154700284,0.5518993444554183
ENet,-0.04697694533730368,0.5302959308683426,0.2979533837614069,0.5671447196870926,1.4111094138684666,0.07910617732415981,-0.06881903120163191,-0.9218493562767185,0.8216964207349409,0.5929919137466307,-0.06579046412362487,0.526227675842244
GBRT,-0.6362552091181064,-0.20082354893091567,0.5795817256749264,0.5084745762711864,-0.7985071807673734,0.7877118861209255,-0.9014964803700851,-1.7933453804702078,0.9635411423298722,0.5363881401617251,-0.2834641793388644,0.6115894816122269
RF,-0.2786426765923742,-0.595624302895868,0.7242868812580026,0.546284224250326,-0.31752235453500227,0.624576360039691,-0.53288875921633,-1.336447775890943,0.9092985203024778,0.5795148247978437,0.6150442748772698,0.26926274076388146
NN3,-0.25286224926460554,0.18031028135498114,0.42845449230170496,0.5501955671447197,1.25309005099501,0.10508646817814915,-0.2220839883394996,-1.50438811854158,0.9337592691235818,0.5498652291105122,0.38024269478814443,0.3518826346181103
