yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
196405,80.37 ,2.36330 ,4.28000 ,0.51904 ,0.03480 ,0.04410 ,0.04850 ,0.04220 ,0.02118 ,0.00260 ,0.00000 ,0.00500 ,0.00570 ,0.00023 ,-0.00193 ,0.01682 ,0.01146 ,1,1,1,1,1,1,1,1,1,1,1,1
196406,81.69 ,2.38000 ,4.33000 ,0.51221 ,0.03480 ,0.04410 ,0.04850 ,0.04190 ,0.02050 ,0.00300 ,0.00324 ,0.00690 ,0.00480 ,0.00040 ,-0.00199 ,0.01808 ,0.01678 ,1,1,1,1,1,1,1,1,1,1,1,1
196407,83.18 ,2.40000 ,4.37670 ,0.50636 ,0.03460 ,0.04400 ,0.04830 ,0.04210 ,0.02131 ,0.00300 ,0.00323 ,0.00080 ,0.00520 ,0.00020 ,-0.00224 ,0.01891 ,0.01795 ,1,1,1,1,1,1,1,1,1,1,1,1
196408,81.83 ,2.42000 ,4.42330 ,0.50794 ,0.03500 ,0.04410 ,0.04820 ,0.04230 ,0.02070 ,0.00280 ,-0.00322 ,0.00200 ,0.00370 ,0.00043 ,-0.00187 ,-0.01162 ,-0.01629 ,1,1,1,1,1,1,0,1,1,1,1,1
196409,84.18 ,2.44000 ,4.47000 ,0.48654 ,0.03530 ,0.04420 ,0.04820 ,0.04210 ,0.02040 ,0.00280 ,0.00323 ,0.00500 ,0.00210 ,0.00017 ,-0.00195 ,0.03040 ,0.02902 ,1,1,1,1,1,1,1,1,1,1,1,1
196410,84.86 ,2.46000 ,4.49670 ,0.48781 ,0.03570 ,0.04420 ,0.04810 ,0.04210 ,0.02012 ,0.00290 ,0.00000 ,0.00430 ,0.00500 ,0.00019 ,-0.00223 ,0.00875 ,0.00757 ,1,1,1,1,1,1,1,1,1,1,1,1
196411,84.42 ,2.48000 ,4.52330 ,0.48650 ,0.03640 ,0.04430 ,0.04810 ,0.04220 ,0.01917 ,0.00290 ,0.00322 ,0.00170 ,-0.00040 ,0.00021 ,-0.00248 ,0.00160 ,-0.00459 ,1,1,1,1,1,1,0,1,1,1,1,1
196412,84.75 ,2.50000 ,4.55000 ,0.48723 ,0.03840 ,0.04440 ,0.04810 ,0.04230 ,0.02310 ,0.00310 ,0.00000 ,0.00300 ,0.00880 ,0.00035 ,-0.00238 ,0.00523 ,0.00380 ,1,1,1,1,1,1,1,0,1,1,1,1
196501,87.56 ,2.51670 ,4.59330 ,0.47172 ,0.03810 ,0.04430 ,0.04800 ,0.04220 ,0.01790 ,0.00280 ,0.00000 ,0.00400 ,0.00810 ,0.00017 ,-0.00220 ,0.03479 ,0.03384 ,1,1,1,1,1,1,1,1,1,1,1,1
196502,87.43 ,2.53330 ,4.63670 ,0.47140 ,0.03930 ,0.04410 ,0.04780 ,0.04240 ,0.01482 ,0.00300 ,0.00000 ,0.00140 ,0.00090 ,0.00039 ,-0.00220 ,0.00375 ,-0.00085 ,1,1,1,1,1,1,0,1,1,1,1,1
196503,86.16 ,2.55000 ,4.68000 ,0.46949 ,0.03930 ,0.04420 ,0.04780 ,0.04220 ,0.01913 ,0.00360 ,0.00321 ,0.00540 ,0.00120 ,0.00014 ,-0.00214 ,-0.01221 ,-0.01369 ,1,1,1,1,1,1,0,0,1,1,1,1
