Forecasting models,0,1,2,3,4,5,6,7,8,9,10,11
HA,,,,0.6509803921568628,,,,,,0.7073170731707317,,
SVR,-0.34174216908193067,0.22174654239262148,0.4122555981706091,0.5411764705882353,1.0073626113596783,0.15688027584732445,-0.5168533913143452,-0.5067212570985097,0.6938247933655597,0.5934959349593496,1.5227774120186268,0.06390720148626272
KNR,-0.06397856984303751,0.20289252011879305,0.4196095203873751,0.6,0.6653934746184823,0.252899428756578,-0.14160500295588774,-1.52337730840693,0.9361678321216096,0.6097560975609756,-0.9995753926842823,0.8412419817161063
AdaBoost,-0.20025178614469707,-0.1518557745824743,0.5603496547841698,0.5254901960784314,0.08148887691198556,0.4675265851992296,-0.36701952445298236,-1.0985456824359545,0.8640168593615327,0.4796747967479675,0.03904449089172456,0.4844274585183068
XGBoost,-0.41604904448789637,0.5770388394975556,0.2819566092607688,0.5294117647058824,-0.06755122070119922,0.5269285565560937,-0.6392371950610531,-0.5096782962479068,0.6948615696477687,0.5203252032520326,-0.5452358000177987,0.7072043238248549
Combination,-0.07778037557728967,-0.264850337186773,0.6044376212025824,0.6016260162601627,0.6779177171974576,0.24891193288750868,-0.18265385807950185,-1.1717249728925176,0.8793462532998673,0.6016260162601627,0.6779177171974576,0.24891193288750868
