Forecasting models,0,1,2,3,4,5
HA,,,,0.6415094339622641,,
SVR,-0.48180528859879335,-0.9921067903191989,0.8394272827598159,0.522911051212938,1.121579910139737,0.13102054873491675
KNR,-0.06573364657423908,-0.6914269836780111,0.7553513741947151,0.6037735849056604,0.8740608149861698,0.19104256780847884
AdaBoost,-0.18438175204028862,-1.129908527860435,0.8707426149057784,0.5202156334231806,-0.8987415385690202,0.8156048270130798
XGBoost,-0.8593587846705637,0.10078129012462553,0.4598620397641915,0.5094339622641509,-0.5640309976236862,0.7136334817073635
Combination,-0.4649904401785676,1.655857908032533,0.04887529872136753,0.5606469002695418,1.3157823400308561,0.09412355414431395
